county,median_sale_price,ppsf_year_avg,property_type,state,year
Washington,138100.0,119.1287343675687,All Residential,Ohio,2021
Union,343427.5,149.44154013576016,Condo/Co-op,Ohio,2021
Summit,153750.0,111.31497153398388,All Residential,Ohio,2021
Ottawa,168000.0,122.0432619274632,Condo/Co-op,Ohio,2021
Monroe,239000.0,125.6344974898802,All Residential,Illinois,2021
Carroll,173750.0,104.04024733978753,Single Family Residential,Ohio,2021
Limestone,224000.0,98.98105577661669,All Residential,Texas,2021
Santa Barbara,1019500.0,513.9025985378119,All Residential,California,2021
Island,550000.0,268.64880072146605,All Residential,Washington,2021
Colorado,370000.0,156.27748267611906,All Residential,Texas,2021
Caddo,114000.0,80.3631392079489,All Residential,Oklahoma,2021
New Haven,257000.0,157.2260535599756,All Residential,Connecticut,2021
Chippewa,240000.0,114.75958832629428,All Residential,Wisconsin,2021
Richmond City,287450.0,201.48247891737032,Condo/Co-op,Virginia,2021
Jefferson,109500.0,68.98711154503421,Condo/Co-op,Arkansas,2021
Mason,280000.0,165.37427563215698,Condo/Co-op,Michigan,2021
Dyer,145000.0,93.1392247839947,Single Family Residential,Tennessee,2021
Ashland,254900.0,94.1033546951704,Condo/Co-op,Wisconsin,2021
Muskogee,145250.0,87.93879385345699,All Residential,Oklahoma,2021
Manatee,390000.0,190.0271643773856,All Residential,Florida,2021
Delaware,395265.0,154.24315835659692,All Residential,Ohio,2021
Forsyth,171750.0,121.60518459804112,Townhouse,North Carolina,2021
Sarasota,323750.0,218.50561332673496,Condo/Co-op,Florida,2021
Monroe,145000.0,90.22347296982622,All Residential,Missouri,2021
Knox,231000.0,120.0110759608684,Single Family Residential,Ohio,2021
Shelby,42000.0,85.76918246853506,Multi-Family (2-4 Unit),Ohio,2021
Rice,239848.5,150.81100918476167,Townhouse,Minnesota,2021
Hawaii,878000.0,389.8920704375161,Townhouse,Hawaii,2021
Cayuga,215000.0,81.34219944570981,Multi-Family (2-4 Unit),New York,2021
LaSalle,119900.0,107.37185690276532,Single Family Residential,Illinois,2021
Mower,175000.0,97.71721838817858,All Residential,Minnesota,2021
Yazoo,77500.0,69.4871200361513,Single Family Residential,Mississippi,2021
Pointe Coupee Parish,168000.0,135.43634732389805,Single Family Residential,Louisiana,2021
Schoharie,128000.0,94.03790054624088,Multi-Family (2-4 Unit),New York,2021
Ottawa,135000.0,106.66811144634514,All Residential,Oklahoma,2021
Madison,239900.0,148.9707739803527,All Residential,Texas,2021
Saline,130000.0,120.05372585492285,Condo/Co-op,Arkansas,2021
Clallam,559100.0,246.8618590293227,Multi-Family (2-4 Unit),Washington,2021
Midland,163325.0,117.32363301743533,Single Family Residential,Michigan,2021
Attala,7000.0,58.24461209334623,All Residential,Mississippi,2021
Stone,176000.0,112.53790598098358,Single Family Residential,Arkansas,2021
Madison,266200.0,128.75659965199736,Townhouse,Alabama,2021
Maricopa,411000.0,263.3848477283887,All Residential,Arizona,2021
